,Asian,Black,Hispanic,Mixed,Other,White,postal_code
134,10.6%,2.8%,52.6%,2.2%,0.8%,31.0%,92832
135,3.8%,3.4%,0.4%,0.8%,0.1%,91.5%,15236
136,13.4%,13.4%,8.0%,2.1%,0.4%,62.7%,61820
137,12.9%,6.9%,16.2%,4.3%,1.1%,58.5%,89117
138,5.0%,26.7%,13.9%,2.2%,0.1%,52.1%,28278
139,2.2%,1.7%,0.6%,0.6%,0.1%,94.8%,44141
140,2.9%,14.5%,6.3%,1.9%,0.9%,73.5%,30101
141,2.0%,2.8%,0.4%,0.9%,0.3%,93.6%,44319
142,1.6%,5.2%,37.4%,1.5%,5.4%,49.0%,85201
143,5.2%,13.3%,16.8%,3.5%,1.2%,60.0%,89130
144,0.0%,0.0%,0.0%,4.8%,0.0%,95.2%,28720
145,0.0%,2.6%,1.7%,1.2%,0.0%,94.5%,15063
146,1.1%,66.0%,1.9%,2.1%,0.1%,28.8%,44137
147,0.2%,2.9%,0.9%,0.4%,0.0%,95.5%,15209
148,0.2%,5.2%,68.6%,0.4%,1.6%,23.9%,85006
149,0.5%,34.7%,0.0%,1.2%,0.0%,63.6%,71063
150,1.8%,14.1%,49.7%,0.8%,1.2%,32.4%,85007
151,2.8%,1.6%,2.9%,1.3%,0.1%,91.3%,15203
152,0.9%,0.2%,0.2%,0.9%,0.0%,97.8%,61849
153,1.1%,29.8%,1.6%,2.3%,0.3%,65.0%,44125
154,0.3%,0.4%,1.6%,0.2%,0.0%,97.5%,15139
155,4.8%,43.2%,8.6%,1.9%,0.4%,41.1%,28214
156,15.7%,12.1%,3.1%,2.5%,0.2%,66.4%,15213
157,1.6%,6.8%,2.8%,2.1%,0.1%,86.5%,44017
158,0.2%,95.1%,2.3%,0.4%,0.1%,1.9%,44104
159,2.6%,0.2%,1.3%,1.8%,0.0%,94.1%,53532
160,6.1%,6.2%,53.8%,1.3%,2.1%,30.5%,89104
161,0.0%,0.0%,6.2%,8.8%,0.1%,84.9%,73728
162,0.4%,14.0%,15.3%,1.0%,0.6%,68.8%,28025
163,1.6%,1.7%,4.0%,1.7%,0.3%,90.8%,44126
164,4.7%,9.8%,19.3%,2.2%,0.5%,63.6%,89011
165,0.7%,4.7%,84.9%,0.5%,1.8%,7.5%,85035
166,0.1%,15.9%,1.3%,2.5%,0.0%,80.2%,15025
167,0.0%,23.0%,3.7%,5.3%,0.8%,67.2%,44308
168,0.6%,16.4%,9.1%,3.3%,0.9%,69.7%,28451
169,3.4%,2.5%,0.9%,1.3%,0.1%,91.8%,15012
170,2.0%,5.0%,2.0%,2.0%,0.2%,88.7%,15108
171,2.1%,5.5%,20.7%,1.6%,6.0%,64.0%,85143
172,2.7%,11.0%,13.3%,2.8%,0.3%,69.9%,44053
173,0.0%,0.0%,1.8%,0.8%,1.1%,96.4%,85545
174,0.3%,3.5%,0.2%,1.3%,0.3%,94.4%,17744
175,0.7%,20.8%,8.6%,0.2%,0.2%,69.5%,70734
176,11.6%,4.0%,7.9%,2.3%,1.2%,73.0%,89044
177,2.6%,1.7%,11.9%,1.4%,1.0%,81.3%,85086
178,3.9%,7.7%,15.1%,3.1%,3.1%,67.1%,85044
179,1.3%,5.0%,16.7%,4.1%,5.9%,67.0%,73701
180,24.6%,3.7%,27.2%,3.7%,5.1%,35.7%,94066
181,2.5%,40.3%,2.8%,2.0%,0.0%,52.5%,15204
182,1.4%,26.5%,2.6%,1.0%,0.1%,68.4%,28203
183,1.7%,47.0%,1.2%,1.4%,0.4%,48.4%,44119
184,0.9%,0.4%,0.5%,0.4%,0.1%,97.7%,44233
185,5.4%,2.7%,7.1%,2.3%,2.8%,79.6%,85248
186,3.1%,46.6%,3.7%,0.8%,0.0%,45.8%,70806
187,1.3%,6.7%,2.0%,1.5%,0.1%,88.4%,44241
188,0.4%,93.4%,0.2%,1.3%,0.3%,4.4%,44108
189,11.2%,12.0%,2.1%,1.5%,0.6%,72.7%,44139
190,1.6%,6.3%,1.9%,0.5%,2.1%,87.6%,70435
191,1.0%,6.2%,8.1%,2.9%,0.8%,81.1%,66606
192,2.4%,15.6%,56.2%,1.7%,4.3%,19.7%,85042
193,6.6%,2.7%,3.3%,1.8%,0.1%,85.6%,44145
194,3.5%,4.8%,39.7%,2.3%,3.5%,46.2%,85051
195,0.5%,0.0%,0.4%,0.4%,0.0%,98.7%,44026
196,2.2%,3.4%,22.1%,2.3%,1.2%,68.9%,85018
197,0.0%,0.0%,0.0%,2.4%,0.0%,97.6%,15949
198,5.9%,8.2%,45.3%,2.9%,1.7%,36.0%,89107
199,1.1%,3.9%,1.1%,4.8%,0.5%,88.6%,15226
200,0.9%,2.3%,17.2%,1.2%,0.5%,77.8%,85208
201,0.2%,5.5%,1.6%,2.1%,0.0%,90.6%,15301
202,4.6%,1.0%,2.1%,1.3%,0.0%,90.9%,44262
203,0.2%,0.0%,1.8%,2.7%,0.0%,95.3%,53911
204,2.0%,7.4%,35.8%,0.8%,0.6%,53.5%,85004
205,2.1%,2.9%,6.7%,2.3%,0.7%,85.3%,28104
206,3.4%,4.9%,6.8%,0.8%,0.0%,84.0%,28031
207,0.6%,1.0%,16.1%,1.7%,0.8%,79.8%,85120
208,0.6%,0.4%,1.7%,0.9%,0.1%,96.2%,16901
209,3.5%,5.7%,3.2%,1.2%,0.8%,85.6%,29708
210,0.0%,1.3%,0.5%,0.0%,0.0%,98.2%,15135
211,1.7%,14.4%,1.3%,1.8%,0.8%,80.1%,28127
212,3.1%,0.9%,13.3%,2.2%,0.0%,80.6%,53598
213,0.0%,0.0%,7.2%,4.4%,0.0%,88.3%,89003
214,4.9%,3.2%,35.1%,2.0%,1.1%,53.7%,94901
215,6.3%,4.7%,11.1%,3.9%,0.2%,73.8%,85048
216,0.1%,0.1%,1.1%,4.3%,0.3%,94.1%,12919
217,0.0%,0.0%,0.0%,1.3%,0.1%,98.6%,15049
218,3.7%,1.2%,3.4%,0.4%,0.2%,91.2%,15243
219,3.3%,4.6%,22.4%,3.9%,4.0%,61.9%,85282
220,5.7%,18.4%,31.1%,3.8%,2.2%,38.7%,89031
221,0.0%,0.0%,2.7%,1.2%,0.0%,96.1%,61871
222,2.2%,82.0%,2.5%,1.4%,1.6%,10.5%,44103
223,1.5%,1.3%,1.6%,0.4%,0.0%,95.2%,44116
224,1.1%,1.3%,3.0%,1.2%,0.0%,93.4%,44001
225,0.8%,6.4%,1.3%,2.2%,0.4%,88.8%,15106
226,1.7%,1.3%,16.0%,1.2%,1.0%,78.8%,85207
227,0.0%,53.9%,2.0%,1.2%,0.0%,42.9%,71638
228,5.9%,10.4%,2.0%,0.9%,1.2%,79.5%,44321
229,4.0%,6.9%,1.2%,0.8%,0.0%,87.1%,44333
230,0.0%,5.1%,4.9%,3.5%,0.0%,86.5%,70437
231,0.0%,0.3%,0.2%,0.5%,0.0%,99.0%,15026
232,10.0%,5.1%,11.6%,1.0%,0.0%,72.3%,89019
233,4.6%,34.1%,19.5%,1.1%,0.5%,40.1%,28205
234,0.0%,1.0%,2.1%,0.0%,0.0%,96.9%,61847
235,2.4%,0.0%,1.0%,0.0%,0.0%,96.6%,44072
236,0.6%,0.5%,19.9%,3.3%,0.0%,75.7%,85361
237,2.8%,4.5%,19.1%,3.5%,1.4%,68.7%,85212
238,7.3%,1.6%,1.0%,0.4%,0.0%,89.6%,44040
239,8.9%,6.3%,3.6%,1.6%,0.1%,79.6%,45069
240,11.5%,11.8%,31.8%,2.3%,1.9%,40.8%,89103
